date,category,amount
2022-01-01 11:03:49 +0000,Rent Car,81.16
2022-01-03 01:45:10 +0000,Transport,5.02
2022-01-03 23:56:40 +0000,Tech,2064.07
2022-01-06 03:23:28 +0000,Other,68.82
2022-01-06 10:17:52 +0000,Other,104.01
2022-01-11 11:13:25 +0000,Transport,4.98
2022-01-11 20:02:15 +0000,Restaurant,63.5
2022-01-12 03:52:50 +0000,Communal,71.48
2022-01-12 12:02:07 +0000,Market,102.29
2022-01-14 14:55:44 +0000,Taxi,16.03
2022-01-18 08:08:49 +0000,Rent,1112.11
2022-01-19 04:10:36 +0000,Other,165.62
2022-01-19 17:15:40 +0000,Coffee,2.16
2022-01-20 10:57:47 +0000,Health,69.59
2022-01-20 12:11:51 +0000,Restaurant,46.99
2022-01-20 16:41:08 +0000,Rent,1429.31
2022-01-22 03:35:24 +0000,Other,88.94
2022-01-24 04:10:14 +0000,Other,172.85
2022-01-24 05:57:53 +0000,Restaurant,17.88
2022-01-24 09:31:22 +0000,Transport,22.24
2022-01-26 15:17:37 +0000,Restaurant,54.62
2022-01-26 22:41:05 +0000,Clothing,276.39
2022-01-27 19:01:55 +0000,Transport,25.72
2022-01-29 09:37:43 +0000,Coffee,8.33
2022-01-29 11:43:53 +0000,Market,47.91
2022-01-29 19:26:50 +0000,Market,25.64
2022-01-31 03:23:44 +0000,Sport,85.68
2022-01-31 13:02:35 +0000,Events,19.77
2022-02-01 05:14:54 +0000,Restaurant,73.55
2022-02-02 08:45:44 +0000,Business Lunch,61.92
2022-02-03 04:31:24 +0000,Sport,127.14
2022-02-03 23:00:31 +0000,Restaurant,73.17
2022-02-04 13:24:41 +0000,Health,96.94
2022-02-05 03:23:16 +0000,Sport,78.71
2022-02-06 00:09:00 +0000,Taxi,28.9
2022-02-09 13:55:34 +0000,Other,111.01
2022-02-11 14:12:57 +0000,Clothing,296.67
2022-02-11 22:37:19 +0000,Other,43.88
2022-02-12 09:48:45 +0000,Transport,4.56
2022-02-13 01:50:29 +0000,Restaurant,23.27
2022-02-14 14:24:57 +0000,Phone,50.35
2022-02-14 23:57:55 +0000,Transport,21.58
2022-02-22 11:21:28 +0000,Other,26.08
2022-02-23 06:46:25 +0000,Transport,28.89
2022-02-23 22:10:22 +0000,Other,164.59
2022-02-24 21:43:58 +0000,Transport,27.17
2022-02-25 03:03:23 +0000,Fuel,67.35
2022-02-28 17:59:49 +0000,Rent Car,94.43
2022-03-01 04:45:25 +0000,Rent Car,162.46
2022-03-01 06:19:32 +0000,Market,102.9
2022-03-01 14:09:28 +0000,Market,55.12
2022-03-04 03:20:26 +0000,Events,27.87
2022-03-04 08:48:31 +0000,Sport,27.34
2022-03-04 18:07:58 +0000,Market,70.8
2022-03-05 14:43:24 +0000,Transport,29.74
2022-03-06 03:24:15 +0000,Learning,425.45
2022-03-08 16:22:27 +0000,Taxi,18.4
2022-03-10 10:44:14 +0000,Phone,49.96
2022-03-10 16:15:15 +0000,Market,16.6
2022-03-16 14:27:14 +0000,Coffee,8.7
2022-03-17 04:35:47 +0000,Other,101.59
2022-03-17 16:33:34 +0000,Events,89.08
2022-03-18 06:22:26 +0000,Travel,451.36
2022-03-18 13:39:37 +0000,Coffee,7.2
2022-03-19 19:26:03 +0000,Other,79.75
2022-03-20 10:26:41 +0000,Coffee,3.17
2022-03-22 02:38:59 +0000,Coffee,6.84
2022-03-22 11:14:52 +0000,Restaurant,53.18
2022-03-23 05:35:46 +0000,Phone,56.87
2022-03-23 13:01:38 +0000,Restaurant,30.19
2022-03-24 01:07:47 +0000,Market,12.89
2022-03-24 07:49:43 +0000,Market,83.9
2022-03-26 16:22:27 +0000,Phone,37.72
2022-03-27 16:04:10 +0000,Film/Enjoyment,27.08
2022-04-01 00:07:44 +0000,Sport,126.11
2022-04-01 12:49:36 +0000,Taxi,19.96
2022-04-03 01:21:17 +0000,Sport,26.33
2022-04-03 01:25:00 +0000,Clothing,157.52
2022-04-04 00:21:07 +0000,Taxi,9.27
2022-04-04 05:58:36 +0000,Clothing,215.1
2022-04-05 03:37:31 +0000,Fuel,80.98
2022-04-05 08:54:52 +0000,Business Lunch,34.74
2022-04-07 12:32:23 +0000,Learning,282.37
2022-04-10 00:13:56 +0000,Restaurant,68.96
2022-04-10 08:54:37 +0000,Travel,577.46
2022-04-10 20:08:32 +0000,Other,5.85
2022-04-11 10:52:49 +0000,Other,82.27
2022-04-11 22:04:42 +0000,Coffee,2.06
2022-04-14 18:27:24 +0000,Market,116.57
2022-04-15 03:21:37 +0000,Transport,27.43
2022-04-16 09:11:32 +0000,Phone,19.22
2022-04-16 09:46:27 +0000,Clothing,251.38
2022-04-17 12:44:30 +0000,Communal,157.33
2022-04-19 02:03:39 +0000,Restaurant,35.42
2022-04-20 03:33:23 +0000,Clothing,292.68
2022-04-20 05:31:27 +0000,Communal,128.09
2022-04-22 00:25:26 +0000,Coffee,8.71
2022-04-22 06:49:46 +0000,Fuel,56.96
2022-04-22 13:08:14 +0000,Motel,148.19
2022-04-22 20:08:49 +0000,Restaurant,11.28
2022-04-24 04:31:14 +0000,Phone,55.54
2022-04-24 16:30:32 +0000,Fuel,55.64
2022-04-25 07:59:18 +0000,Film/Enjoyment,55.7
2022-04-25 10:40:52 +0000,Fuel,23.68
2022-04-26 05:06:07 +0000,Market,104.33
