date,category,amount
1/5/2025 2:40,Sports,72.94
1/1/2025 2:27,Travel,281.89
1/9/2025 16:59,Hotel,217.86
1/5/2025 15:05,Cab,10.95
1/8/2025 22:59,cafe,5.66
1/10/2025 6:20,TAXI,46.21
1/14/2025 6:41,Misc,46.61
1/17/2025 6:01,Restaurent,68.07
1/15/2025 2:46,Sport,119.34
1/16/2025 2:38,Restaurant,67.21
1/12/2025 20:36,Market,15.96
1/18/2025 12:26,education,221.56
1/15/2025 16:16,supermarket,78.17
1/12/2025 5:18,MOTEL,181.45
1/25/2025 11:58,supermarket,37.57
1/28/2025 2:56,rental,466.24
1/27/2025 10:29,Supermarket,112.03
1/21/2025 11:48,TRAVEL,388.1
1/26/2025 20:35,Business_Lunch,45.62
1-Apr-25,miscellaneous,191.66
1-Jul-25,Event,77.82
1-Sep-25,EVENT,174.2
1/5/2025,fuel,92.01
1/6/2025,Restaurent,44.35
1/9/2025,Travel,N/A
1/1/2025,Other,146.93
1/12/2025,resto,38.4
1/10/2025,film,
1/11/2025,COFFEE,3.05
2/7/2025 10:57,Cab,40.63
2/5/2025 13:34,resto,52.67
2/3/2025 22:03,business lunch,50.68
2/8/2025 16:48,Misc,
2/6/2025 5:48,transport,6.84
2/13/2025 19:06,gas,unknown
2/17/2025 13:34,RESTAURANT,36.15
2/19/2025 20:56,Film,49.46
2/10/2025 13:59,TRAVEL,715.36
2/15/2025 1:37,Restuarant,23.58
2/16/2025 23:31,Market,104.08
2/25/2025 14:00,FUEL,56.02
2/25/2025 19:57,Film,22.93
2/24/2025 17:28,event,33.68
2-Aug-25,cafe,7.9
2-Feb-25,Transports,7.44
2-Jul-25,travel,239.87
2-Nov-25,business_lunch,27.37
2/3/2025,Misc,84.93
2/1/2025,RENT,1116.13
3/1/2025 18:17,Transports,8.69
3/8/2025 9:04,Restuarant,12.07
3/15/2025 23:12,Coffee,7.36
3/12/2025 14:23,rent car,161.05
3/16/2025 1:38,clothing,97.66
3/12/2025 5:32,business lunch,102.23
3/19/2025 0:34,Restaurent,9.08
3/29/2025 15:15,taxi,47.25
3/28/2025 15:37,Film,57.37
3/24/2025 9:36,Learning,83.77
3-Jun-25,OTHER,187.68
3-May-25,Travelling,641
3-Nov-25,supermarket,71
3-Sep-25,transport,20.1
3/2/2025,TAXI,18.1
4/8/2025 22:52,clothing,86.12
4/5/2025 7:47,cafe,6.97
4/3/2025 16:59,TAXI,49.86
4/8/2025 14:43,Rent,568.22
4/16/2025 10:31,Restaurant,45.91
4/14/2025 20:36,Fuel,36.7
4/15/2025 6:54,Taxi,14.28
4/12/2025 8:34,supermarket,19.06
4/10/2025 10:14,tech,499.51
4/24/2025 6:49,health,218.78
4/24/2025 4:07,travel,470.85
4/30/2025 16:35,Other,22.2
4/30/2025 11:30,rent car,35.86
4-Jun-25,TRANSPORT,24.56
4-Mar-25,Transports,-31.23
4-May-25,Taxi,5.91
4-Sep-25,rental,
4/2/2025,Other,93.41
4/1/2025,MOTEL,-19.31
4/5/2025,supermarket,83.17
4/1/2025,Restuarant,22.55
4/4/2025,COMMUNAL,158.75
4/6/2025,Mobile,23.54
4/3/2025,Misc,83.25
4/10/2025,cafe,unknown
5/2/2025 23:49,EVENT,63.78
5/1/2025 0:45,MARKET,102.8
5/3/2025 20:50,Coffe,5.53
5/9/2025 9:50,Clothes,96.09
5/11/2025 7:28,car rental,144.16
5/12/2025 20:06,Market,8.38
5/12/2025 16:33,Sports,147
5/18/2025 12:33,fuel,81.42
5/10/2025 23:24,HEALTH,235.44
5/28/2025 6:59,MOTEL,212.63
5/27/2025 12:54,market,9.43
5-Oct-25,Restaurent,57.53
5/5/2025,cab,40.72
5/6/2025,Phone,15.19
5/4/2025,Taxi,-14.54
5/5/2025,Biz Lunch,78.59
5/6/2025,rental,694.21
5/5/2025,cafe,3.92
5/11/2025,transport,22.19
5/12/2025,SPORT,27.89
5/10/2025,RESTAURANT,68.36
5/10/2025,TECH,1691.93
6/3/2025 8:22,Market,-24.23
6/3/2025 13:19,RESTAURANT,18.88
6/5/2025 13:10,EVENT,36
6/9/2025 5:15,Clothes,79.64
6/1/2025 21:12,supermarket,119.96
6/7/2025 0:22,MARKET,108.53
6/5/2025 13:53,Restaurent,53.79
6/15/2025 6:12,Transportation,21.24
6/14/2025 13:00,Phone Bill,25.36
6/19/2025 12:41,Cafe,8.18
6/17/2025 13:04,education,328.05
6/13/2025 6:51,RentCar,187.89
6/11/2025 0:32,FUEL,92.97
6/11/2025 18:10,Other,
6/27/2025 12:22,Entertainment,27.02
6/21/2025 16:33,cab,49.75
6/25/2025 6:27,Supermarket,52.71
6-Feb-25,Car Rental,37.87
6-Mar-25,transport,9.33
6-Oct-25,MARKET,53.45
6-Sep-25,CLOTHING,281.14
6/1/2025,coffee,8.59
6/11/2025,market,41.6
6/12/2025,travel,487.81
6/10/2025,Rent Car,94.78
7/6/2025 13:27,coffee,3.06
7/6/2025 20:48,Cafe,2.29
7/8/2025 18:04,PHONE,13.02
7/7/2025 11:05,Mobile,23.57
7/15/2025 16:51,Supermarket,33.77
7/15/2025 1:47,RESTAURANT,14.05
7/18/2025 8:34,cafe,7.46
7/23/2025 12:05,Biz Lunch,114.31
7/21/2025 17:51,Restuarant,73.45
7/25/2025 9:46,Sports,97.82
7/31/2025 3:28,Sport,140.55
7-Aug-25,Motel,206.21
7-Aug-25,Film/Enjoyment,57.97
7-Apr-25,market,39.63
7-Dec-25,supermarket,23.26
7-Jun-25,FUEL,38.79
7-Mar-25,Supermarket,99.7
7-May-25,Sport,61.8
7/9/2025,Entertainment,25.95
7/6/2025,transport,18.88
7/10/2025,Transportation,4.86
7/12/2025,restaurant,71.08
7/12/2025,Restuarant,66.84
8/9/2025 4:11,miscellaneous,59.02
8/8/2025 3:02,supermarket,92.25
8/8/2025 19:29,Car Rental,-45.62
8/2/2025 12:54,RESTAURANT,28.97
8/6/2025 21:25,Restaurant,17.53
8/2/2025 7:00,Transport,8.83
8/6/2025 0:41,film,28.4
8/17/2025 22:47,Entertainment,12.66
8/28/2025 6:18,Clothes,59.5
8/27/2025 6:27,Transports,7.55
8/20/2025 7:58,taxi,30.55
8/24/2025 21:11,coffee,7.07
8/27/2025 1:40,Market,114.81
8/20/2025 4:35,taxi,44.04
8/30/2025 18:38,Clothing,107.65
8-Nov-25,communal,86.19
8/3/2025,Cafe,2.56
8/1/2025,RENT,1159
8/1/2025,Communal,61.08
8/9/2025,Transportation,16.61
8/1/2025,market,92.54
8/4/2025,fuel,20.07
8/11/2025,Market,17.11
8/11/2025,restaurant,22.24
8/10/2025,Restaurent,-34.35
8/11/2025,technology,1985.98
9/2/2025 6:15,Restaurent,23.21
9/1/2025 17:55,restaurant,52.61
9/3/2025 6:33,Mobile,31.2
9/17/2025 12:35,healthcare,45.54
9/16/2025 22:35,miscellaneous,174.37
9/13/2025 21:13,transport,26.75
9/17/2025 15:46,RESTAURANT,53.43
9/17/2025 5:24,supermarket,6.78
9/12/2025 8:55,cafe,3.51
9/22/2025 11:30,Restuarant,51.29
9/22/2025 2:45,Restaurant,15.57
9/20/2025 14:07,taxi,33.1
9-Aug-25,Transportation,11.98
9-Aug-25,Restaurant,34.98
9-Dec-25,clothes,285.72
9-Oct-25,Fuel,96.23
9/3/2025,Restaurent,47.54
9/4/2025,supermarket,46.44
9/12/2025,transport,6.02
9/12/2025,Market,103.96
10/10/2025 11:15,Restaurent,-37.9
10/16/2025 8:10,Rent Car,68.16
10/15/2025 7:03,Cab,28.21
10/18/2025 14:51,PHONE,47.16
10/15/2025 22:34,Transports,4.8
10/11/2025 1:52,Clothing,156.34
10/26/2025 14:35,OTHER,128.04
10/21/2025 12:46,Transports,18.58
10/25/2025 15:18,COMMUNAL,70.17
10/31/2025 7:01,communal,185.95
10-Apr-25,utilities,125.33
10/4/2025,Phone,57.2
10/8/2025,Transports,??
10/7/2025,TAXI,46.99
10/10/2025,Healthcare,247.49
11/6/2025 11:16,restaurant,19.57
11/9/2025 2:10,Event,151.4
11/10/2025 5:37,RentCar,80.76
11/14/2025 15:49,Phone Bill,57.7
11/25/2025 22:55,sports,56.44
11/28/2025 17:44,PHONE,32.73
11/26/2025 16:04,coffee,3.73
11/20/2025 10:15,taxi,28.38
11/25/2025 11:06,car rental,66.26
11-Aug-25,Transport,25.46
11-Apr-25,car rental,190.72
11-May-25,Gas,-10.7
11-Mar-25,business_lunch,53.94
11-Sep-25,Market,36.52
11/2/2025,Transportation,unknown
11/12/2025,travel,397.38
11/11/2025,RESTAURANT,-27.31
12/7/2025 8:33,supermarket,79.93
12/2/2025 9:35,Utilities,55.21
12/1/2025 16:51,RESTAURANT,73.44
12/4/2025 11:24,resto,48.27
12/15/2025 17:51,resto,
12/12/2025 12:02,Utilities,147.2
12/18/2025 22:08,TAXI,34.69
12/27/2025 7:11,Film,44.58
12/28/2025 16:55,PHONE,25.03
12/29/2025 5:20,EVENT,137.46
12/20/2025 18:08,cafe,
12/24/2025 16:07,taxi,7.05
12/30/2025 2:56,market,118.8
12-Aug-25,Communal,98.9
12-Jun-25,COFFEE,-2.69
12-Nov-25,Transport,22.39
12/8/2025,Transportation,29.87
12/7/2025,Restaurent,13.49
12/4/2025,Entertainment,32.04
12/9/2025,market,111.28
12/12/2025,gas,94.86
13-Jun-25,Market,40.49
13-Mar-25,Market,118.74
13-Nov-25,COFFEE,7.39
13-Sep-25,miscellaneous,20.36
13/07/2025,film,24.4
13/05/2025,utilities,66.29
13/07/2025,HEALTH,14.99
13/09/2025,RESTAURANT,76.12
13/11/2025,OTHER,-28.37
14/06/2025,Transportation,
14/06/2025,transport,unknown
14/05/2025,Travel,N/A
14/06/2025,RENT,638.87
14/03/2025,Supermarket,
15-Apr-25,film,13.84
15-Aug-25,OTHER,195.56
15-Apr-25,Technology,1071.51
15-Dec-25,communal,164.33
15-Feb-25,phone,35.98
15-Jan-25,Cafe,3.54
15-Jan-25,Restuarant,47.45
15/06/2025,supermarket,9.21
15/06/2025,supermarket,18.51
15/09/2025,TRANSPORT,5.47
15/10/2025,market,36.19
15/10/2025,market,43.24
15/10/2025,Market,58
15/12/2025,film,30.53
16-Jul-25,Mobile,13.29
16-Oct-25,resto,60.86
16/05/2025,Entertainment,10.32
16/08/2025,market,19.29
16/07/2025,PHONE,-13.94
17-Aug-25,supermarket,18.51
17-Jun-25,miscellaneous,164.56
17-Jun-25,transport,20.48
17-May-25,Mobile,58.45
17-Oct-25,gas,92.64
17/01/2025,Clothing,180.01
17/08/2025,coffee,2.01
17/07/2025,restaurant,63
17/01/2025,clothing,252.54
17/12/2025,Taxi,14.08
18-Dec-25,Transport,13.31
18-Jan-25,rent car,154.54
18-Oct-25,HEALTH,17.53
18/01/2025,PHONE,23.3
18/06/2025,taxi,40.18
18/05/2025,cafe,
18/04/2025,Sport,111.57
19-Apr-25,Phone,??
19-Jul-25,clothes,93.82
19-Sep-25,gas,79.17
19/06/2025,Education,430.19
19/02/2025,Coffe,8.29
19/02/2025,transport,23.3
19/10/2025,Utilities,117.14
20-Aug-25,Restaurent,27.29
20/06/2025,RESTAURANT,35.89
20/07/2025,TRANSPORT,7.83
20/01/2025,Phone Bill,57.36
20/02/2025,business lunch,100.66
20/08/2025,taxi,25.31
20/04/2025,MARKET,
20/10/2025,TAXI,15.6
2025-01-16 08:58:37 +0000,Coffee,7.88
6/15/2025,COFFEE,2.15
2025-08-19 00:32:15 +0000,Motel,68.31
9/8/2025,car rental,81
2025-02-09 17:19:37 +0000,phone,27.09
1/22/2025,PHONE,46.27
2025-07-24 14:25:08 +0000,phone,36.74
2025-09-11 07:44:26 +0000,event,-7.36
6/22/2025,travel,707.34
2025-07-02 13:22:33 +0000,Travel,257.76
2025-11-10 05:04:26 +0000,film/enjoyment,25.94
2025-07-08 05:10:54 +0000,TECH,48.4
2025-11-30 15:36:15 +0000,Supermarket,17.67
20251009,film/enjoyment,33.9
2025-08-07 19:46:40 +0000,health,202.68
2025-07-24 21:57:36 +0000,Coffee,7.83
20250422,transport,27.37
2025-07-24 02:58:12 +0000,Coffee,2.76
