date,category,amount
1/5/2024 2:07,MARKET,94.77
1/6/2024 7:46,HEALTH,291
1/13/2024 4:42,Restaurent,18.29
1/16/2024 7:03,supermarket,25.85
1/24/2024 14:45,OTHER,70.77
1/26/2024 0:57,Cab,46.9
1/28/2024 22:51,COFFEE,8.96
1/20/2024 22:24,market,113.1
1/28/2024 13:51,Car Rental,
1/22/2024 12:53,Rental,906.17
1/31/2024 1:02,PHONE,20.79
1/30/2024 20:59,Phone,40.81
1/30/2024 12:37,COFFEE,9.91
1-Aug-24,Clothes,103.96
1-Oct-24,health,30.09
1/5/2024,hotel,244.04
1/8/2024,Sport,67.88
1/11/2024,cafe,2.3
1/10/2024,MARKET,87.94
2/9/2024 4:44,Clothes,172.52
2/2/2024 22:53,hotel,158.5
2/1/2024 9:28,car rental,156.94
2/13/2024 8:18,misc,115.35
2/10/2024 8:27,Transports,23.75
2/13/2024 7:47,TRANSPORT,11.78
2/11/2024 11:01,Market,115.44
2/11/2024 6:59,MARKET,19.33
2/11/2024 20:14,resto,40.42
2/19/2024 21:28,TRAVEL,250.55
2/19/2024 23:46,business lunch,118.1
2/18/2024 9:37,learning,477.45
2/13/2024 2:29,travelling,791.8
2/21/2024 1:45,supermarket,13.89
2/20/2024 5:42,Clothing,153.69
2/21/2024 0:42,communal,-24.75
2/26/2024 16:29,Gas,53.08
2-Apr-24,Mobile,29.8
2/10/2024,Communal,84.15
2/11/2024,Fuel,21.08
3/8/2024 20:43,travel,776.23
3/9/2024 6:23,miscellaneous,161.67
3/9/2024 15:45,Restaurent,72.08
3/5/2024 0:14,restaurant,14.16
3/1/2024 3:34,other,-17.37
3/11/2024 2:14,Restaurent,52.63
3/10/2024 11:09,restaurant,51.47
3/13/2024 20:45,gas,21.94
3/18/2024 20:14,resto,57.52
3/12/2024 0:38,Restaurant,47.41
3/13/2024 12:50,film/enjoyment,28.31
3/15/2024 15:30,MARKET,53.31
3/17/2024 18:53,Rent Car,171.61
3/26/2024 1:09,Market,44.69
